stop,line,destination,url,station_id
Arret Rout Breck Pafendall Quai 2,21,"ROLLINGERGRUND, Eich centre culturel",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rout-breck-pafendall-quai-2,1855009
Arret Rout Breck Pafendall Quai 2,32,"DOMMELDANGE, Parc de l'Europe",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rout-breck-pafendall-quai-2,1855009
Arret Rout Breck Pafendall Quai 2,86,"MERL, Marcel Cahen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rout-breck-pafendall-quai-2,1855009
Arret Rout Breck Pafendall Quai 2,88,"LIMPERTSBERG, Henri VII",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rout-breck-pafendall-quai-2,1855009
Arret Rout Breck Pafendall Quai 2,90,"LIMPERTSBERG, Theater",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rout-breck-pafendall-quai-2,1855009
Arret Rue Dostende Quai 1,11,"STEINSEL, Mich. Rodange Plaz",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-1,1140197
Arret Rue Dostende Quai 1,16,"SENNINGERBERG, Aéroport",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-1,1140197
Arret Rue Dostende Quai 1,22,"CLOCHE D'OR, P+R Stade de Luxembourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-1,1140197
Arret Rue Dostende Quai 2,11,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-2,1140060
Arret Rue Dostende Quai 2,16,"BERTRANGE, École Européenne II",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-2,1140060
Arret Rue Dostende Quai 2,22,"STRASSEN, Primeurs",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-dostende-quai-2,1140060
Arret Rue De Bitbourg Quai 1,9,CENTS Waassertuerm,https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-1,1273012
Arret Rue De Bitbourg Quai 1,9,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-1,1273012
Arret Rue De Bitbourg Quai 1,15,"HAMM, Ierzkaulen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-1,1273012
Arret Rue De Bitbourg Quai 1,25,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-1,1273012
Arret Rue De Bitbourg Quai 1,27,"KOCKELSCHEUER, Patinoire",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-1,1273012
Arret Rue De Bitbourg Quai 2,15,"HOLLERICH, P+R Bouillon",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-2,1273013
Arret Rue De Bitbourg Quai 2,25,"DOMMELDANGE, Gare",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-2,1273013
Arret Rue De Bitbourg Quai 2,27,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-bitbourg-quai-2,1273013
Arret Rue De Louest Quai 2,8,"BERTRANGE, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-louest-quai-2,2273020
Arret Rue De Leudelange Quai 1,13,"BELAIR, Centre Hospitalier",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-1,1934902
Arret Rue De Leudelange Quai 1,14,"CENTS, Waassertuerm",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-1,1934902
Arret Rue De Leudelange Quai 1,4,"DOMMELDANGE, Parc de l'Europe",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-1,1934902
Arret Rue De Leudelange Quai 1,94,"Limpertsberg, LTC",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-1,1934902
Arret Rue De Leudelange Quai 2,13,"KOHLENBERG, Boy Konen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-2,1870903
Arret Rue De Leudelange Quai 2,27,"HAMM, Rue de Bitbourg",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-2,1870903
Arret Rue De Leudelange Quai 2,75,Geesseknäppchen/Sud,https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-2,1870903
Arret Rue De Leudelange Quai 2,98,"Limpertsberg, Theater",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-2,1870903
Arret Rue De Leudelange Quai 3,14,"CESSANGE, Boy Konen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-3,1934911
Arret Rue De Leudelange Quai 3,4,"LEUDELANGE, Gemeng",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-3,1934911
Arret Rue De Leudelange Quai 3,27,"KOCKELSCHEUER, Patinoire",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-3,1934911
Arret Rue De Leudelange Quai 3,75,"CESSANGE, Rue Verte",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-de-leudelange-quai-3,1934911
Arret Rue Haute Quai 1,9,CENTS Waassertuerm,https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-1,1718017
Arret Rue Haute Quai 1,15,"HAMM, Ierzkaulen",https://vdl.lu/fr/se-deplacer/en-bus/horaires-et-depart-en-temps-reel/arrets/arret-rue-haute-quai-1,1718017
